id,section,question,answer,tags
1,General,What is SecurePass SSO?,SecurePass SSO lets employees sign in once with their company account and then access all connected applications without entering their password again.,"general,sso,overview"
2,General,How does SecurePass SSO work in simple terms?,"SecurePass redirects you to your organization's identity provider when you log in. After you authenticate there, SecurePass uses that session to sign you in to other apps automatically.","general,sso,overview"
3,General,Do I still need a separate password for each application?,"No. You sign in with your company account in SecurePass, and the connected applications trust that sign-in. You still must protect your company password and MFA carefully.","general,password,sso"
4,Account & Login,Where do I go to log in to SecurePass?,"Open your browser and go to your organization's SecurePass portal URL, for example https://login.securepass.example.com, and sign in with your company email and password.","login,portal,url"
5,Account & Login,What username should I use to sign in?,"Use the same company email address you use for other internal systems, such as your corporate email or HR portal. If you are unsure, contact your local IT or helpdesk.","login,username,identity"
6,Account & Login,I forgot my password. How can I reset it?,"On the SecurePass sign-in page, click 'Forgot password'. Enter your company email and follow the instructions. In most organizations the reset link is sent to your email or SMS.","login,password,reset"
7,Account & Login,I see 'Your account is locked'. What should I do?,"Your account may be locked after too many failed login attempts or a security policy. Wait a few minutes and try again. If the message persists, contact your helpdesk to unlock the account.","login,lockout,security"
8,Account & Login,I never received the password reset email. Why?,"First, check your spam folder. Ensure you typed the correct email address. Some organizations block external emails, so the reset might be sent only to your corporate mailbox, not a personal one.","login,password,email"
9,MFA,What is multi-factor authentication (MFA) in SecurePass?,"MFA adds a second step to your login, such as a code from an app, SMS, or a hardware token. It protects your account even if someone knows your password.","mfa,security,overview"
10,MFA,How do I enable MFA for my SecurePass account?,"Sign in to SecurePass, open your profile or security settings, and choose 'Set up multi-factor authentication'. Follow the wizard to register an authenticator app or another factor allowed by your organization.","mfa,setup,security"
11,MFA,Which MFA methods does SecurePass support?,"Typical options include TOTP authenticator apps, push notifications, SMS codes, hardware security keys, and backup recovery codes. The exact list depends on your organization's security policy.","mfa,methods,security"
12,MFA,I changed my phone and lost access to my MFA app. What now?,"If you still have access to backup codes, use one of them to sign in and re-register MFA. If not, contact your helpdesk to verify your identity and reset MFA on your account.","mfa,device,reset"
13,MFA,Can I disable MFA on my account?,"In most organizations you cannot disable MFA yourself. MFA is enforced by security policy. If you have issues with a particular factor, ask the helpdesk to switch you to another supported method.","mfa,policy,security"
14,Devices & Sessions,Why does SecurePass log me out after a while?,"Your organization defines session lifetime policies. After some idle time or a fixed duration, SecurePass ends the session for security reasons and you must sign in again.","session,timeout,security"
15,Devices & Sessions,Can I stay signed in on my personal device?,"If allowed by policy, you may tick 'Remember this device' or 'Keep me signed in'. Do this only on trusted devices you control, never on public or shared computers.","session,remember,device"
16,Devices & Sessions,How do I sign out of all devices?,"Go to your SecurePass profile, open the sessions or devices section, and choose 'Sign out of all sessions'. This is recommended if you suspect your account was used on an unknown device.","session,logout,security"
17,Troubleshooting,I enter correct credentials but keep seeing 'Access denied'. What should I check?,"Verify that you are using the correct portal URL and company email. The application you are trying to open may not be assigned to you. If the issue persists, contact the helpdesk with a screenshot and timestamp.","error,access-denied,permissions"
18,Troubleshooting,"SSO was working yesterday, but now I am always asked to log in again. Why?","Your login session may have expired, cookies may be disabled, or your browser is clearing cookies on close. Enable cookies for the SecurePass domain and check that you are not using private browsing mode permanently.","error,sso,session"
19,Troubleshooting,I see a blank page or endless redirect after login. What can I do?,"Try another browser, clear cookies for the SecurePass domain, and disable browser extensions that block scripts. If the problem remains, send the URL and time of the error to the helpdesk.","error,redirect,browser"
20,Troubleshooting,I cannot access a specific application from SecurePass. Others work fine.,The application might not be assigned to your account or may be temporarily unavailable. Contact the application owner or helpdesk and provide the app name and the error message you see.,"error,application,access"
21,Security & Privacy,Does SecurePass store my application passwords?,"SecurePass primarily relies on modern federation protocols (SAML, OIDC). In that case it does not store your application passwords but uses secure tokens issued by your identity provider.","security,passwords,saml,oidc"
22,Security & Privacy,Who can see my login activity in SecurePass?,"Administrators and security teams can see metadata such as login time, IP address, device type, and success or failure, but not your password or MFA codes.","security,privacy,logs"
23,Security & Privacy,What should I do if I suspect my account is compromised?,"Immediately change your password, if possible from a trusted device, and contact the helpdesk or security team. Ask them to review recent sessions and revoke unknown devices.","security,incident,compromise"
